COMMUNE,fid,Longitude,Latitude,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
Plaisance du Sud,363,-73.57101856,18.42927486,30.445833333333333,43,3.6666666666666665,4.333333333333333,156.66666666666666,766.6666666666666,6814,3.8233333333333333,228.66666666666666,2.3466666666666667,63.666666666666664,368853,5.56,55.65333333333333,1.7366666666666666,31,0,-1,23.336666666666666,1726,3.236179528666667,0,0,77,0.03133333333333333,-2.0337666666666667,3,3
Pointe-à-Raquette,415,-73.159545848,18.881538964,61.92954,17.4,2,2.6,0,408,9706.8,3.942,154.8,2.17,66.4,784955.6,5.792,74.066,1.8479999999999999,54.6,0.2,-0.8,8.664,818.8,2.9127394934,1,0,19.2,0.366,-0.87922,3.8,3.8
Port Margot,529.3333333333334,-72.46428763,19.751724413333335,20.599916666666665,51,4.166666666666667,4.666666666666667,41.666666666666664,795,5626.166666666667,3.63,345.5,2.355,65,219913.33333333334,5.198333333333333,41.75666666666667,1.5683333333333334,15.5,0,-1,22.193333333333335,2006.6666666666667,3.2990457741666663,0.16666666666666666,0,45.666666666666664,0.49466666666666664,-0.8202166666666667,3.3333333333333335,3.3333333333333335
Port de Paix,90.33333333333333,-72.86530926500001,19.881175380000002,59.45126666666667,62.166666666666664,1.8333333333333333,3.6666666666666665,13.333333333333334,591.6666666666666,37549,4.485,1317.1666666666667,2.85,57.833333333333336,727290.3333333334,5.7,32.358333333333334,1.2133333333333334,18.333333333333332,0,-1,14.7,1119.8333333333333,2.9910017546666667,0.8333333333333334,0,66.33333333333333,1.3693333333333333,0.0064,3.3333333333333335,3.3333333333333335
Port-Salut,86.75,-73.90996532,18.121138105,24.93185,71.75,4,4.75,15,307.5,14270.75,4.0325,540.25,2.7275,56.5,427745.5,5.58,40.152499999999996,1.5475,19,0,-1,14.83,2048.5,3.30861816575,0.75,0,32.75,0.9125,-0.06695,3.75,3.75
Port-au-Prince,261,-72.34087242333334,18.52215431,11.416366666666667,99.33333333333333,3,4,26.666666666666668,946.6666666666666,158273.33333333334,5.11,13193,4.093333333333334,35.333333333333336,395553,5.573333333333333,3.1466666666666665,0.4633333333333334,0,0,-1,23.946666666666665,1496.3333333333333,3.1722467643333334,0.6666666666666666,0,68.66666666666667,5.840333333333334,0.6565333333333333,2,2
Port-à-Piment,47.5,-74.06640794500001,18.285565335,28.7562,37.5,3,5,20,925,6967.5,3.835,265,2.385,65,229794,5.359999999999999,34.46,1.52,46.5,0,-1,29.945,1784,3.24775524,0.5,0,99,0.3125,-0.99285,3,3
Pétion-Ville,252.6,-72.26865388,18.483696724,31.430120000000002,76,3.2,4.4,302,1314,75898,4.676,2532,3.214,39.8,921386.8,5.842,16.868,1.166,20.2,0,-1,26.433999999999997,1585.4,3.1963045354,0,0,82.2,2.9842,0.36298,3,3
Quartier Morin,527,-72.16835597,19.687587625,29.8811,87.5,3,4,10,285,20223,4.300000000000001,689.5,2.825,52.5,445455,5.609999999999999,24.1,1.31,0,0,-1,2.69,1208,3.0820574105,0.5,0,3.5,2.1525,0.33295,3,3
Ranquitte,512,-72.05643601333333,19.397514603333335,26.842866666666666,22.666666666666668,3.6666666666666665,4.666666666666667,230,736.6666666666666,7320.333333333333,3.833333333333333,272.6666666666667,2.4099999999999997,57.666666666666664,245186.33333333334,5.386666666666667,37.82333333333334,1.5533333333333332,27.333333333333332,0,-1,16.976666666666667,1755.6666666666667,3.2397116606666665,0,0,70.66666666666667,0.665,-0.2695,3.3333333333333335,3.3333333333333335
Roche-à-Bateau,546,-73.97653996666666,18.19852847,16.4907,33,3.3333333333333335,5,26.666666666666668,580,5937,3.6799999999999997,337.6666666666667,2.52,68.33333333333333,268437.3333333333,5.41,56.39333333333333,1.73,55.666666666666664,0,-1,23.45,1751,3.242519386666667,0.6666666666666666,0,89.66666666666667,0.492,-0.8146333333333333,3.3333333333333335,3.3333333333333335
Roseaux,207.5,-74.035644505,18.5347839875,53.415425,8.5,3.75,5.75,47.5,897.5,7907,3.8724999999999996,156.5,2.185,65.25,444141.5,5.625,57.5475,1.7475,57,0.25,-0.75,27.505000000000003,2213.25,3.32771720375,0.5,0,76,0.2825,-0.895275,3,3
